Week,Người làm (tự điền),Title,Detail,Status
1,Hil (Lead),Setup project + storage layer,"Tạo skeleton thư mục, storage.py (SQLite: bảng jobs/cvs/match_results).",Done
1,Hải,Đọc CV ra text,Hàm extract_text từ PDF (pdfplumber) và Word (python-docx).,Done
1,Bá,Công thức rule-based % match,Implement skill 50% + kinh nghiệm 50% trong rule_based_scorer.py.,Done
1,Dũng,Setup Streamlit multipage,"app.py (Home) + 3 trang (Upload CV, Tạo Job, Kết quả ứng viên).",Done
1,,Gom CV/JD mẫu,Thu thập 15-20 CV + vài JD thật để dùng xuyên suốt dự án.,To Do
2,Hil (Lead),CRUD Job/CV qua storage,"add_job, add_cv, list_jobs, list_cvs trong storage.py.",Done
2,Hải,Trích skill + kinh nghiệm,"skill_extractor + regex kinh nghiệm, nối vào trang Upload CV.",Done (cần mở rộng SKILL_KEYWORDS)
2,Bá,Gọi thử Gemini API,"Setup API key, gửi prompt mẫu, parse JSON response.",Done
2,Dũng,Trang Upload CV + Tạo Job hoạt động thật,"Form nhập liệu, file_uploader, lưu qua storage, bảng danh sách.",Done
2,,Test luồng upload thủ công,"Chạy thử upload->parse, ghi nhận lỗi báo Hải/Hil.",To Do
3,Hil + Bá,Luồng chạy match hoàn chỉnh,rule_based_scorer -> llm_recommender -> save_match_result; prompt + recommendation + câu hỏi PV.,Done
3,Dũng,Trang Kết quả ứng viên,"Nút 'Chạy match', bảng % match, expander chi tiết.",Done
3,,Xử lý CV lỗi format,Không crash khi CV không đọc được/không detect skill.,To Do
3,,Chuẩn bị CV demo + hỗ trợ debug,"Bổ sung CV đa dạng, phụ giúp role đang chậm tiến độ.",To Do
4,,Test end-to-end thủ công & fix bug,Tạo Job -> Upload CV -> Chạy match -> Xem kết quả.,In Progress
4,,Polish UI cơ bản,"Spinner, thông báo lỗi/thành công, sidebar gọn gàng.",To Do
4,,Báo cáo + chuẩn bị demo,"Tổng hợp kiến trúc, kết quả, đóng góp từng người.",To Do
0,Hil (Lead),Fix môi trường Windows,"venv activation PowerShell, lỗi build pandas==2.2.2 (bỏ pin version).",Done
0,Hil (Lead),Cập nhật model Gemini deprecated,gemini-1.5-flash (404) -> gemini-2.0-flash.,Done
0,Hil (Lead),Xử lý lỗi quota/API Gemini,"Bắt exception, fallback về rule-based score thay vì crash app.",Done
0,Hil (Lead),Bảo mật API key,"Phát hiện key bị lộ trong chat, hướng dẫn revoke + tạo key mới.",Done
