Week,Assignee,Title,Detail
1,Hil (Lead),Setup project + storage layer,"Tạo skeleton thư mục, storage.py (SQLite: bảng jobs/cvs/match_results)."
1,Hải,Đọc CV ra text,Hàm extract_text từ PDF (pdfplumber) và Word (python-docx).
1,Bá,Công thức rule-based % match,Implement skill 50% + kinh nghiệm 50% trong rule_based_scorer.py.
1,Dũng,Setup Streamlit multipage,"Tạo app.py (Home) + 3 trang (Upload CV, Tạo Job, Kết quả ứng viên) dạng khung sườn."
1,Thương,Gom CV/JD mẫu,Thu thập 15-20 CV + vài JD thật để dùng xuyên suốt dự án.
2,Hil (Lead),CRUD Job/CV qua storage,"Hoàn chỉnh add_job, add_cv, list_jobs, list_cvs trong storage.py."
2,Hải,Trích skill + kinh nghiệm,"skill_extractor + regex kinh nghiệm, nối vào trang Upload CV."
2,Bá,Gọi thử Gemini API,"Setup API key, gửi prompt mẫu, parse JSON response cơ bản."
2,Dũng,Trang Upload CV + Tạo Job hoạt động thật,"Form nhập liệu, file_uploader, lưu qua storage, hiển thị bảng danh sách."
2,Thương,Test luồng upload thủ công,"Chạy thử upload->parse, ghi nhận lỗi báo Hải/Hil."
3,Hil + Bá,Luồng chạy match hoàn chỉnh,Nối rule_based_scorer -> llm_recommender -> save_match_result; hoàn chỉnh prompt + recommendation + câu hỏi PV.
3,Dũng,Trang Kết quả ứng viên,"Nút 'Chạy match', bảng % match, expander chi tiết pros/cons/recommend/câu hỏi PV."
3,Hải,Xử lý CV lỗi format,Đảm bảo không crash khi CV không đọc được/không detect skill.
3,Thương,Chuẩn bị CV demo + hỗ trợ debug,"Bổ sung CV đa dạng, phụ giúp role đang chậm tiến độ."
4,Cả nhóm,Test end-to-end thủ công & fix bug,"Chạy full luồng Tạo Job -> Upload CV -> Chạy match -> Xem kết quả, sửa lỗi tích hợp."
4,Dũng,Polish UI cơ bản,"Spinner, thông báo lỗi/thành công, sidebar gọn gàng - không cần làm đẹp sâu."
4,Thương,Báo cáo + chuẩn bị demo,"Tổng hợp kiến trúc, kết quả, đóng góp từng người để nộp/demo."
